15,27,34,46,63,10,18,31,54,69,1,19,0,58,72,13,25,43,56,68,14,23,45,48,75
9,27,35,50,73,11,30,33,53,68,7,22,0,59,69,3,25,34,52,66,1,18,36,54,71
1,24,39,51,74,4,23,42,52,61,11,30,0,57,65,14,18,41,58,64,2,28,35,47,67
13,28,37,59,71,3,17,44,53,66,15,26,0,55,68,2,16,43,56,74,7,20,38,49,65
6,25,41,52,74,15,29,31,50,70,14,26,0,60,75,1,27,38,59,61,9,16,42,49,62
11,26,45,50,70,1,19,38,55,71,10,23,0,54,69,12,21,39,60,66,8,24,40,58,74
11,18,39,46,64,5,28,37,58,70,3,16,0,60,73,8,22,44,53,72,10,30,31,56,75
7,22,36,57,69,5,25,35,59,63,2,28,0,49,65,15,17,32,47,62,10,30,40,60,64
5,30,35,50,67,7,19,42,48,62,12,25,0,57,71,4,21,44,51,75,15,26,43,55,61
9,24,34,46,68,14,16,33,48,62,3,21,0,47,72,6,30,38,57,65,2,29,40,58,70
5,25,45,46,66,2,16,32,50,75,6,20,0,54,61,4,27,36,53,69,13,23,42,57,64
15,24,31,59,72,7,25,37,47,66,14,29,0,48,63,8,21,44,55,69,1,19,34,56,64
8,18,41,59,71,6,28,44,51,68,4,21,0,52,65,1,30,39,54,67,11,17,43,46,63
15,30,35,54,66,13,27,38,56,74,3,21,0,60,75,2,17,33,58,67,7,16,45,59,73
7,20,37,52,61,13,28,39,53,62,12,16,0,49,72,9,29,32,50,69,8,30,34,59,71
7,18,34,52,65,9,22,38,51,61,1,24,0,54,74,13,27,35,55,68,10,19,41,47,66
6,22,42,48,68,8,23,40,56,73,12,18,0,60,71,15,30,45,53,66,14,26,31,52,72
3,29,40,50,62,10,19,43,53,70,11,20,0,57,67,2,17,39,56,66,9,25,37,51,64
5,21,44,55,71,7,19,42,60,64,4,20,0,49,68,10,29,36,58,72,11,16,38,50,74
8,29,33,57,73,5,18,35,60,74,11,22,0,47,63,14,25,32,58,67,15,28,34,46,70
4,16,40,47,61,1,23,39,56,65,3,28,0,57,69,14,22,42,55,67,2,27,37,58,75
4,20,43,48,70,6,21,31,52,74,7,24,0,59,64,13,25,33,57,65,10,23,41,58,62
5,21,40,59,66,1,27,36,47,63,13,26,0,57,75,15,29,43,50,73,6,24,34,49,68
13,30,37,48,72,3,17,31,51,74,6,27,0,46,68,2,21,44,54,67,8,28,41,60,61
11,24,32,53,63,13,20,39,55,69,12,17,0,49,73,1,28,33,46,67,7,30,45,52,68
14,21,34,54,72,13,25,32,48,70,4,16,0,52,66,3,30,36,47,67,9,19,38,56,65
6,22,34,57,63,14,20,38,56,71,3,26,0,50,69,1,17,43,60,72,10,18,41,52,74
