6,14,25,4,0,21,7,18,27
5,13,24,2,0,28,7,17,27
10,19,25,5,0,22,9,16,29
5,11,23,8,0,30,6,12,27
10,20,26,1,0,22,8,19,28
5,12,21,4,0,30,3,15,22
9,13,26,3,0,23,7,14,24
2,12,26,9,0,30,8,18,25
6,17,28,9,0,29,1,14,23
2,20,29,10,0,26,3,16,27
6,15,25,2,0,21,4,11,23
1,17,28,7,0,25,5,19,27
9,18,22,10,0,24,5,19,25
6,15,30,5,0,29,8,13,24
4,16,26,10,0,22,8,12,28
3,14,27,4,0,22,5,19,21
9,11,23,7,0,22,4,20,30
2,11,26,7,0,30,8,17,25
1,18,27,3,0,24,9,12,23
7,13,29,3,0,28,6,12,23
2,19,24,1,0,26,10,15,21
4,14,28,6,0,27,1,16,30
5,12,22,1,0,25,7,17,29
8,19,30,5,0,21,6,20,29
2,14,21,9,0,23,6,11,25
3,15,24,10,0,22,4,18,28
2,18,27,4,0,26,5,13,29
7,11,30,9,0,26,10,19,23
3,16,24,8,0,25,1,12,27
2,14,29,8,0,24,7,17,23
9,20,21,5,0,26,3,13,28
7,16,22,4,0,30,6,15,27
5,11,22,1,0,25,10,18,26
6,15,30,10,0,29,8,12,21
9,19,27,6,0,21,1,20,23
2,13,24,3,0,22,10,17,21
5,14,25,6,0,29,2,16,28
4,19,28,9,0,30,2,13,23
1,11,27,7,0,26,3,14,24
4,18,25,8,0,30,1,15,24
9,12,24,3,0,23,5,17,29
4,20,21,10,0,28,7,14,26
3,11,28,4,0,22,6,12,27
7,19,29,8,0,30,2,16,22
6,12,27,1,0,23,9,13,21
6,14,22,10,0,25,8,18,23
5,16,24,10,0,22,2,15,21
2,17,26,4,0,30,9,13,23
2,20,28,3,0,29,1,15,25
7,11,25,5,0,26,1,15,24
5,18,30,8,0,27,9,19,25
1,12,24,4,0,23,10,14,29
6,13,21,7,0,28,3,16,26
8,11,22,2,0,28,7,16,27
10,17,28,7,0,30,9,14,24
4,11,23,6,0,21,8,20,25
10,15,30,3,0,21,5,19,22
4,18,26,2,0,29,5,12,22
2,17,27,3,0,23,1,11,26
3,13,22,9,0,25,4,14,24
6,16,28,9,0,25,1,19,29
4,17,30,1,0,27,7,20,25
8,18,23,10,0,29,1,15,30
8,20,26,3,0,28,7,12,21
9,11,23,8,0,28,5,13,24
10,14,21,2,0,27,6,16,29
7,13,22,5,0,30,10,20,21
4,17,30,6,0,24,5,19,26
1,19,23,5,0,25,3,18,21
9,15,24,10,0,29,3,12,22
8,18,27,2,0,22,4,12,28
1,14,22,9,0,26,2,11,23
7,20,30,4,0,25,9,16,29
6,19,30,8,0,27,3,13,23
9,14,23,5,0,28,8,17,29
2,15,26,6,0,27,10,19,21
10,18,25,1,0,24,7,11,27
7,12,28,2,0,30,3,20,26
4,17,22,5,0,25,6,15,21
3,14,24,10,0,29,4,16,22
2,13,21,8,0,23,4,11,24
9,12,22,1,0,28,6,16,27
5,19,30,1,0,29,3,11,21
6,14,26,8,0,23,7,18,22
10,17,29,9,0,28,5,20,25
9,11,26,4,0,29,7,15,27
6,17,24,10,0,30,2,13,25
1,16,27,10,0,23,8,11,25
7,12,25,3,0,21,2,18,26
4,17,22,3,0,29,10,19,24
2,14,24,8,0,28,5,19,23
2,14,27,1,0,22,9,20,30
5,15,30,3,0,28,6,18,26
4,13,21,6,0,28,1,11,27
6,17,28,7,0,25,8,16,22
1,12,23,7,0,30,5,17,29
10,19,23,6,0,21,9,20,22
4,12,27,9,0,24,8,14,26
7,14,26,3,0,21,2,18,29
1,15,30,8,0,25,3,11,24
10,18,29,5,0,28,8,13,24
10,16,25,1,0,23,2,20,27
5,19,26,6,0,30,2,17,28
3,12,27,5,0,22,9,16,30
4,13,28,7,0,27,10,11,21
6,11,29,7,0,25,1,14,22
3,15,23,6,0,22,4,18,24
4,19,27,9,0,24,8,15,26
7,20,23,3,0,29,2,17,30
5,16,26,1,0,21,4,18,29
3,12,28,8,0,29,10,13,24
7,18,25,8,0,23,5,14,26
6,15,30,5,0,24,10,11,21
9,16,30,2,0,27,1,13,22
5,20,21,3,0,28,9,19,22
10,17,29,4,0,25,7,19,27
8,17,21,1,0,23,6,11,27
2,12,27,6,0,24,4,14,26
9,18,29,7,0,23,6,15,22
3,11,29,7,0,30,2,16,26
8,13,25,10,0,24,2,20,28
7,20,25,5,0,23,1,12,26
1,19,24,3,0,21,4,15,30
4,17,28,5,0,27,8,14,30
9,18,22,2,0,25,5,20,21
5,11,29,6,0,21,10,20,28
7,16,23,10,0,21,4,13,27
8,18,22,6,0,24,1,11,26
3,19,27,9,0,29,6,12,24
7,15,23,9,0,22,8,17,30
8,13,23,2,0,28,3,14,24
5,16,26,1,0,27,7,20,25
2,16,26,4,0,21,1,14,30
10,11,23,1,0,26,9,19,29
6,17,29,2,0,25,7,18,22
5,13,28,6,0,29,4,12,30
3,15,24,7,0,21,4,11,25
8,14,21,10,0,27,4,17,23
9,20,28,2,0,21,5,17,22
1,16,22,6,0,26,3,15,24
9,18,22,8,0,27,3,19,30
10,17,29,2,0,24,3,13,27
5,12,25,7,0,23,10,18,28
1,14,27,7,0,26,8,11,28
1,20,23,9,0,30,4,19,24
6,13,21,10,0,26,9,16,30
4,15,23,2,0,26,7,18,29
3,19,25,5,0,22,4,12,29
2,20,21,6,0,27,8,17,23
2,11,28,5,0,24,9,18,22
5,13,29,6,0,28,1,14,30
3,15,29,1,0,24,10,16,27
3,11,21,9,0,28,7,19,25
8,12,25,10,0,24,4,18,26
10,19,30,7,0,22,5,20,23
10,17,27,9,0,26,6,19,28
1,19,21,4,0,29,2,14,26
8,13,23,7,0,29,1,15,25
3,16,30,8,0,27,5,12,25
4,13,22,3,0,24,6,11,28
6,18,22,5,0,21,2,17,27
9,20,23,2,0,27,8,14,24
3,19,21,1,0,25,10,11,28
7,15,24,9,0,26,3,18,30
5,14,30,4,0,22,9,12,29
4,16,23,7,0,30,10,17,21
2,13,29,1,0,26,4,12,28
8,20,21,6,0,29,10,11,24
7,16,25,6,0,27,1,15,30
8,12,22,3,0,25,5,19,23
2,18,21,5,0,27,7,14,22
6,11,27,2,0,24,9,13,23
6,20,25,4,0,28,3,17,24
9,15,26,3,0,25,10,19,21
1,15,22,9,0,30,8,12,29
10,11,30,4,0,23,7,16,26
5,17,28,4,0,30,9,18,21
1,13,26,3,0,29,2,14,28
1,19,27,10,0,25,6,20,30
7,16,26,8,0,22,6,19,24
4,15,25,8,0,23,2,13,22
6,12,29,9,0,23,2,17,27
8,18,27,3,0,21,5,11,22
5,14,26,7,0,21,1,17,25
10,20,24,3,0,23,9,17,28
5,19,30,2,0,24,10,11,29
7,16,30,9,0,23,4,15,21
3,12,22,1,0,29,2,13,28
6,18,25,4,0,24,5,15,27
1,17,28,6,0,26,8,15,30
8,20,25,2,0,30,7,14,22
10,11,23,8,0,25,4,13,29
8,14,28,5,0,21,9,19,27
3,16,22,6,0,21,7,20,26
7,19,28,10,0,24,1,12,23
10,17,26,5,0,29,3,18,24
3,11,21,9,0,24,4,15,30
6,20,22,2,0,29,10,13,28
3,15,27,1,0,24,2,14,25
8,18,30,6,0,26,1,16,28
7,12,27,2,0,30,5,14,23
4,20,21,5,0,29,6,19,25
8,11,21,2,0,28,9,17,27
1,14,22,5,0,23,9,13,25
9,13,28,10,0,24,7,15,23
8,18,21,3,0,26,5,12,22
4,16,29,7,0,27,8,11,26
2,20,24,10,0,30,6,17,22
3,19,28,9,0,22,4,11,29
1,11,24,3,0,25,2,13,26
1,14,23,8,0,21,6,15,30
2,15,24,4,0,21,5,12,29
6,18,27,7,0,25,3,20,30
1,13,23,4,0,27,10,16,22
8,17,23,10,0,28,9,18,25
10,13,22,7,0,26,5,19,21
8,20,29,2,0,26,7,11,30
7,14,30,1,0,22,9,12,24
5,15,29,9,0,25,6,17,22
9,13,28,3,0,27,4,18,21
8,16,26,1,0,24,6,20,28
2,19,29,1,0,23,5,20,24
