3,16,26,47,12,19,28,38,11,24,36,45,2,17,33,40
9,23,34,48,2,20,29,40,4,18,28,45,3,17,35,46
3,16,25,42,12,15,27,40,1,14,31,48,10,23,32,37
7,22,26,43,12,18,33,40,6,13,29,37,4,21,25,38
2,16,34,41,8,17,29,39,10,22,30,45,7,14,32,43
6,19,25,44,5,20,35,46,3,16,28,41,11,13,36,39
10,21,28,45,9,19,36,37,5,24,31,47,8,20,34,42
4,15,35,47,2,14,26,39,6,19,27,38,11,22,30,48
11,23,30,46,8,18,32,40,12,24,33,38,1,13,27,41
1,15,27,46,7,14,34,45,9,21,36,47,3,18,25,39
2,19,26,44,5,20,32,43,9,17,29,37,6,22,35,42
6,16,29,38,7,14,35,42,8,21,30,44,3,24,33,47
10,23,25,41,4,17,31,42,1,13,28,44,7,15,32,48
12,20,28,40,7,17,25,37,1,14,29,43,5,21,33,46
6,17,34,43,8,18,29,39,11,15,35,41,9,16,31,40
10,19,27,45,3,21,30,43,6,23,36,39,2,17,31,44
8,16,25,46,9,17,36,37,12,21,26,38,4,22,31,48
11,24,25,48,5,22,28,41,6,20,35,47,1,18,30,37
10,15,33,38,12,19,30,42,11,13,32,41,9,22,27,37
8,13,36,45,7,14,26,39,11,19,34,47,10,16,33,48
4,17,35,40,2,24,32,42,1,16,29,46,9,13,36,47
12,23,29,38,3,19,35,47,7,20,30,43,11,13,26,44
3,22,28,44,1,15,31,45,9,18,30,47,8,21,34,46
9,23,32,44,6,14,28,41,5,24,36,43,7,15,25,46
6,19,28,39,2,14,35,40,4,20,27,37,8,22,26,42
11,14,33,48,5,21,27,38,10,20,34,40,3,15,25,44
8,17,30,43,12,23,29,48,3,16,27,42,4,18,31,39
8,13,25,48,5,24,36,39,1,18,27,37,4,21,26,46
10,20,27,40,8,16,28,45,6,24,31,47,12,15,32,38
7,15,25,45,4,21,29,39,9,17,33,41,11,16,30,46
12,19,36,37,1,22,32,42,5,21,31,45,2,13,35,44
10,14,35,47,2,17,34,46,6,22,32,43,9,13,33,48
1,20,32,39,2,19,36,40,3,23,27,48,7,24,34,41
6,15,26,45,1,22,29,48,11,23,31,41,8,18,33,38
4,16,26,47,2,20,30,37,10,14,28,40,11,23,36,42
5,20,33,43,6,18,31,44,7,14,25,37,12,24,34,39
7,21,29,38,10,19,36,44,2,17,27,47,8,18,28,41
1,23,26,39,9,19,35,46,8,18,27,47,10,13,25,37
3,16,32,45,12,20,33,46,2,19,26,43,8,18,30,42
8,15,28,38,9,21,32,43,5,24,25,40,12,22,34,48
12,17,35,44,9,14,32,38,4,23,29,42,11,18,27,43
7,15,30,43,2,13,36,46,6,17,27,47,9,16,31,40
5,20,36,46,10,17,25,39,2,19,31,41,12,23,32,48
11,19,26,40,1,22,34,37,7,14,35,48,5,17,28,45
3,15,29,42,1,17,33,41,11,23,28,43,6,24,34,47
